total_price,property_type,room_type,bathrooms,bedrooms,beds,host_is_superhost
90,House,Private room,1,1,1,f
170,Apartment,Entire home/apt,1,2,3,f
185,Condominium,Entire home/apt,1,0,1,t
394,House,Entire home/apt,2.5,4,4,t
90,House,Private room,1,1,1,t
217,House,Entire home/apt,2,3,4,f
109,House,Entire home/apt,1,1,3,t
133,House,Entire home/apt,1,0,1,t
174,House,Entire home/apt,1,2,3,t
79,Apartment,Private room,2,1,1,t
100,Apartment,Entire home/apt,1,1,1,t
100,Apartment,Entire home/apt,2,2,2,f
345,Apartment,Entire home/apt,1,1,1,t
110,House,Private room,1,2,2,t
365,Apartment,Entire home/apt,1.5,1,1,t
565,Apartment,Entire home/apt,2.5,2,2,t
224,Apartment,Entire home/apt,2.5,3,4,t
270,House,Entire home/apt,1,2,3,f
299,House,Entire home/apt,2,3,4,f
55,House,Private room,1,1,1,t
130,Apartment,Entire home/apt,1,1,1,t
290,Condominium,Entire home/apt,1.5,1,1,t
104,Apartment,Entire home/apt,1,1,3,t
65,Townhouse,Private room,1.5,1,1,f
100,House,Private room,1,1,1,f
229,Apartment,Entire home/apt,1,2,2,t
1192,House,Entire home/apt,4,5,9,t
230,Apartment,Entire home/apt,1,1,1,t
273,Apartment,Entire home/apt,1,2,2,t
110,Apartment,Entire home/apt,1,1,1,f
279,Apartment,Entire home/apt,1,1,1,f
115,Apartment,Entire home/apt,1,1,2,f
450,House,Entire home/apt,2.5,3,3,t
199,House,Entire home/apt,1,2,2,t
115,Apartment,Entire home/apt,1,1,1,t
250,House,Entire home/apt,1,2,2,t
295,Apartment,Entire home/apt,1,1,1,t
92,House,Private room,1,1,1,t
81,Condominium,Private room,1,1,1,t
400,Apartment,Entire home/apt,2,4,6,t
275,House,Entire home/apt,1,3,3,t
104,Apartment,Entire home/apt,1,1,1,f
90,House,Private room,1,1,1,t
325,Condominium,Entire home/apt,2,2,2,t
375,House,Entire home/apt,2,3,4,t
71,House,Private room,1,1,1,t
124,Apartment,Entire home/apt,1,0,1,t
162,House,Entire home/apt,1,1,1,t
100,House,Private room,1,1,1,t
525,House,Entire home/apt,3.5,5,5,f
95,House,Private room,1,2,3,t
69,Apartment,Private room,2,1,1,t
140,Apartment,Entire home/apt,1,0,2,t
70,House,Private room,1,1,1,t
235,Apartment,Entire home/apt,1,2,2,t
285,House,Entire home/apt,2,3,3,f
78,House,Entire home/apt,1,1,1,t
112,House,Private room,1,1,1,t
399,House,Entire home/apt,3,4,5,t
115,House,Private room,1,1,1,t
135,Apartment,Entire home/apt,1,1,1,f
124,House,Private room,1,1,1,t
240,House,Entire home/apt,2,3,3,t
70,House,Private room,1,1,1,t
137,House,Private room,1.5,1,2,t
124,House,Private room,1,1,1,t
229,Apartment,Entire home/apt,1,2,2,f
245,House,Entire home/apt,2.5,3,4,t
107,House,Private room,1,1,1,t
400,House,Entire home/apt,2,4,7,t
41,House,Private room,1,1,1,f
68,House,Private room,1,1,1,t
125,House,Entire home/apt,2,3,3,t
24,House,Shared room,1,1,2,f
50,House,Private room,1,1,3,f
579,House,Entire home/apt,3.5,4,5,t
175,House,Private room,1,1,1,t
295,Apartment,Entire home/apt,1,1,1,t
275,House,Entire home/apt,3,4,4,t
174,House,Private room,1,1,1,t
165,Apartment,Entire home/apt,1,2,4,t
70,House,Private room,1,1,2,t
276,House,Entire home/apt,2,2,1,f
80,House,Private room,1,1,1,t
265,House,Entire home/apt,2,4,6,t
288,Apartment,Entire home/apt,2,3,3,f
190,House,Entire home/apt,2.5,2,2,f
125,House,Private room,1,1,2,t
219,House,Entire home/apt,1,3,4,t
295,Apartment,Entire home/apt,1,1,1,t
295,Apartment,Entire home/apt,1,1,1,t
288,House,Entire home/apt,2,2,2,t
350,House,Entire home/apt,2,3,3,t
600,House,Entire home/apt,3.5,4,4,t
130,Apartment,Entire home/apt,1,1,1,t
115,House,Entire home/apt,1.5,2,2,t
148,Apartment,Entire home/apt,1,1,3,f
125,House,Entire home/apt,1,1,1,t
120,House,Entire home/apt,1,2,2,t
145,Apartment,Entire home/apt,1,1,2,t
100,Townhouse,Private room,1.5,2,2,t
135,Apartment,Entire home/apt,1,1,1,t
99,Apartment,Entire home/apt,1,1,1,t
358,House,Entire home/apt,2,2,3,t
94,Apartment,Entire home/apt,1,0,2,t
136,House,Private room,1,1,1,t
109,Apartment,Private room,2,1,1,t
50,House,Private room,1,1,1,t
